now_ms, roll, pitch, yaw
48553, 0.06000011, 0.04652916, -0.6760892
48657, 0.06015774, 0.04668281, -0.6738909
48759, 0.06014758, 0.04693285, -0.6718652
48865, 0.06030994, 0.04721671, -0.669531
48972, 0.06059549, 0.04744737, -0.6673903
49077, 0.06090119, 0.04772915, -0.6651464
49177, 0.06143594, 0.04814197, -0.6630399
49286, 0.06194092, 0.04877072, -0.660747
49381, 0.06263268, 0.04952409, -0.6586646
49481, 0.06318713, 0.05035583, -0.6566762
49589, 0.06462305, 0.05165959, -0.6539264
49696, 0.06547954, 0.05247872, -0.6519809
49809, 0.06694112, 0.05385148, -0.6493154
49910, 0.06804531, 0.05514396, -0.6469516
50014, 0.06943381, 0.05661565, -0.6447355
50117, 0.07085457, 0.05798308, -0.6423209
50219, 0.07224901, 0.05951728, -0.6400712
50324, 0.07389093, 0.06082872, -0.6375128
50427, 0.075652, 0.06231169, -0.6351271
50531, 0.07694579, 0.06374007, -0.6327011
50633, 0.07839738, 0.0653396, -0.6305156
50733, 0.07996708, 0.06694927, -0.6283504
50833, 0.08164857, 0.06848671, -0.6261081
50937, 0.08312668, 0.06993653, -0.6234515
51042, 0.08484068, 0.07161722, -0.6210469
51142, 0.08664408, 0.07320327, -0.6188235
51244, 0.08832598, 0.07477846, -0.6165025
51344, 0.08993983, 0.0763213, -0.6141365
51448, 0.09154185, 0.07788412, -0.6117862
51553, 0.09320555, 0.07956546, -0.6092941
51654, 0.09481894, 0.08133694, -0.607059
51756, 0.09668374, 0.08300255, -0.6046248
51858, 0.09819806, 0.08473124, -0.6022764
51959, 0.09988447, 0.08645757, -0.5999824
52059, 0.1016569, 0.08828331, -0.5975894
52163, 0.1031428, 0.09006242, -0.5950521
52263, 0.09287544, 0.08069435, -0.5928068
52364, 0.00827089, 0.002844784, -0.5914719
52469, -0.05409186, -0.05341176, -0.5917516
52572, -0.06168592, -0.05570342, -0.5930642
52674, -0.0374737, -0.03616709, -0.5948136
52779, 0.005160542, -0.003633028, -0.5970205
52884, 0.04340397, 0.03048865, -0.5994681
52984, 0.06859662, 0.05442504, -0.6018243
53086, 0.08470407, 0.07139774, -0.6036639
53186, 0.102422, 0.088206, -0.6058086
53286, 0.1172509, 0.09951726, -0.608064
53386, 0.1281331, 0.1107068, -0.6099477
53486, 0.1354326, 0.1192909, -0.6108799
53591, 0.1382906, 0.1267867, -0.6113378
53694, 0.1558606, 0.1340921, -0.6109537
53800, 0.1523652, 0.141101, 0.0632642
53900, 0.1646595, 0.1389474, 0.05479576
54003, 0.1742303, 0.1473659, 0.05170206
54104, 0.1774856, 0.1509822, 0.05361731
54205, 0.181531, 0.1556284, 0.0588621
54310, 0.1824863, 0.1657355, 0.06371053
54412, 0.1783392, 0.175095, 0.06692821
54514, 0.1845825, 0.1694614, 0.06587395
54616, 0.1801317, 0.154547, 0.06369306
54719, 3.914343, 0.07971053, 0.05629569
54821, 11.80318, 0.02956364, 0.03270537
54922, 16.42926, 0.007697927, 0.01099287
55024, 18.61405, 0.001481668, -0.000811497
55125, 19.53137, 0.00152092, -0.02063481
55227, 19.90635, -0.002340629, -0.05257418
55327, 20.01139, -0.002824864, -0.1037065
55429, 20.02913, 0.01298726, -0.1410622
55530, 20.01653, 0.0129282, -0.1787589
55630, 19.99823, 0.01961191, -0.1813277
55732, 19.98208, 0.02283714, -0.170167
55834, 19.97332, 0.01810179, -0.1366138
55936, 19.96751, 0.01007687, -0.09562948
56041, 19.9663, 0.0006130649, -0.04801301
56147, 19.96752, -0.01791021, -0.00942215
56247, 19.96066, -0.03356384, 0.02205328
56348, 19.9612, -0.03370365, 0.04859486
56450, 19.97415, -0.03302749, 0.06738848
56556, 19.98743, -0.03141344, 0.06950964
56661, 20.00014, -0.02377618, 0.05421272
56763, 20.00819, -0.01716164, 0.03623314
56863, 20.00637, -0.01444233, 0.01334841
56965, 20.00517, -0.01079406, -0.009118387
57072, 19.99401, -0.008236631, -0.03007111
57175, 19.98632, -0.0005117502, -0.04193713
57275, 19.97508, 0.007832062, -0.04874256
57378, 19.97178, 0.0176451, -0.04663003
57483, 19.97799, 0.02459137, -0.04167096
57584, 19.98125, 0.01823337, -0.0344097
57685, 19.98152, 0.01855297, -0.02189874
57790, 19.97972, 0.01849288, -0.005770977
57895, 19.98441, 0.008545999, 0.003286778
58000, 19.97957, -0.001108991, 0.01054484
58103, 19.96665, -0.01069406, 0.008769174
58203, 19.9551, -0.02196879, 0.007522439
58305, 19.95284, -0.03302574, 0.004845792
58409, 19.97095, -0.03845723, 0.002205274
58509, 19.98664, -0.027943, -0.004158695
58609, 19.99212, -0.0127442, -0.01040488
58709, 19.99605, -0.008308562, -0.0171181
58813, 20.00108, -0.003180634, -0.01919471
58913, 20.0016, -0.0008897767, -0.01655925
59013, 20.00728, -0.003749519, -0.01349883
59114, 20.00515, -0.005964103, -0.004934343
59217, 20.00444, -0.008758778, 0.003220729
59317, 20.01243, -0.01227156, 0.01382403
59422, 20.01697, -0.01019881, 0.01728191
59522, 20.01892, -0.01695843, 0.01952321
59626, 20.01571, -0.01664381, 0.02158118
59726, 20.0122, -0.01741608, 0.02858814
59826, 20.01012, -0.012627, 0.03200023
59926, 20.00847, -0.01697044, 0.03368573
60028, 20.00712, -0.02050759, 0.03208884
60129, 20.00574, -0.02484616, 0.03638193
60230, 20.00475, -0.02750752, 0.03737721
60330, 20.00383, -0.03094888, 0.04408704
60433, 20.00315, -0.03315412, 0.04722659
60533, 20.00196, -0.02760742, 0.05552261
60634, 20.00044, -0.02683164, 0.05265065
60734, 19.99578, -0.01905116, 0.04975764
60835, 19.99643, -0.01189118, 0.04251204
60939, 19.99537, -0.001958539, 0.0421101
61040, 19.99316, 0.00142876, 0.03932074
61141, 19.99372, 0.005025077, 0.04236301
61241, 19.99163, 0.00593598, 0.04367786
61342, 19.99409, 0.003144265, 0.04828966
61444, 19.99251, 0.003301347, 0.05098688
61545, 19.9908, 0.0002748687, 0.05417463
61646, 19.99372, -0.001064801, 0.05477485
61746, 19.99291, 0.001101577, 0.05612742
61851, 19.99114, -0.0002363011, 0.05328818
61952, 19.99366, 0.0005460244, 0.05074593
62056, 19.99152, 0.00319159, 0.04738626
62156, 19.98976, 0.0003977673, 0.0423201
62256, 19.99011, 0.001122037, 0.03919101
62357, 19.98725, 0.003070757, 0.03623394
62462, 19.98929, 0.00135992, 0.03249481
62564, 19.98841, 0.004439707, 0.03044351
62664, 19.98661, 0.005742622, 0.03094818
62766, 19.98941, 0.00459112, 0.02923036
62866, 19.9901, 0.002084198, 0.02927101
62971, 19.98668, 0.00554079, 0.02983755
63072, 19.98717, 0.001593982, 0.02980504
63173, 19.98227, 0.001413858, 0.02787882
63273, 19.98167, 0.002538295, 0.02937829
63376, 19.98572, 0.0003313115, 0.02634858
63478, 19.98374, 0.002549563, 0.02722734
63578, 19.98679, 0.003711299, 0.02390872
63681, 19.98462, 0.0007653383, 0.02062012
63780, 19.98422, 0.003827775, 0.01709635
63880, 19.98343, 0.00123701, 0.01554485
63986, 19.98199, 0.004642994, 0.01466393
64090, 19.98085, 0.005466458, 0.01703356
64190, 19.98524, 0.003061021, 0.01466557
64294, 19.98302, 0.002441833, 0.01557044
64395, 19.98271, 0.002448283, 0.01315196
64497, 19.9848, -0.001588898, 0.0126813
64599, 19.98436, -0.0009035701, 0.01107345
64706, 15.15707, -0.002058601, 0.007528741
64806, 7.688273, 0.0003667823, -0.0007832205
64906, 3.377175, 5.014678e-05, -0.008371512
65008, 1.287717, 0.001311187, -0.01310178
65108, 0.4028637, -0.0009376328, -0.01251751
65212, 0.05652712, -0.00384803, -0.009440866
65313, -0.04340939, 0.003242855, -0.0007665677
65414, -0.05903352, -0.002909327, 0.009114587
65517, -0.04141863, -0.002982828, 0.02083478
65620, -0.01330043, 0.002265971, 0.02469892
65720, 0.01208704, 0.007270663, 0.02936742
65820, 0.02532021, 0.01260555, 0.03091565
65921, 0.02717239, 0.01803515, 0.03237372
66023, 0.01995169, 0.01148994, 0.02852904
66125, 0.01393411, 0.0007822606, 0.0212968
66226, 0.01585672, -0.002285919, 0.01279863
66328, 0.01314378, -0.0005292657, 0.008313053
66430, 0.01166479, 0.00517553, 0.01057379
66533, 0.01652863, 0.01101105, 0.01727491
66633, 0.02212323, 0.0166517, 0.02310145
66733, 0.02690088, 0.02223433, 0.02980966
66838, 0.03207582, 0.0280606, 0.03613905
66941, 0.02924001, 0.03374841, 0.04228229
67044, 0.01216383, 0.03064012, 0.04414122
67146, 0.002756536, 0.02493053, 0.03663707
67247, -0.00771412, 0.01010475, 0.01982043
67347, -0.01436926, -0.005604655, 0.001987208
67448, -0.01112018, -0.01355588, -0.008877493
67549, -0.01605519, -0.0180439, -0.008212302
67651, -0.01656668, -0.02067862, 0.0003303172
67752, -0.01405727, -0.01940023, 0.0091511
67852, -0.01620637, -0.01388498, 0.01174041
67954, -0.01527459, -0.008259397, 0.005467321
68055, -0.01179589, -0.007854119, -0.006769468
68156, -0.01014948, -0.01048466, -0.01408488
68256, -0.009477606, -0.01349607, -0.01341068
68361, -0.008502732, -0.01314733, -0.004115255
68461, -0.007792908, -0.0139319, 0.009637062
68561, -0.007226145, -0.01324335, 0.02516579
68661, -0.008047209, -0.01443132, 0.03131205
68761, -0.01103889, -0.01580433, 0.02850883
68864, -0.01145808, -0.01739355, 0.01956338
68966, -0.01056879, -0.01900709, 0.009876634
69069, -0.01010707, -0.01510314, 0.007026606
69175, -0.008929896, -0.0114587, 0.01290658
69282, -0.009852795, -0.01098545, 0.02297441
69383, -0.01030865, -0.01463945, 0.02476482
69485, -0.01135612, -0.0194853, 0.01721602
69588, -0.009257123, -0.02339336, 0.003000661
69692, -0.01718817, -0.01747494, -0.01464397
69797, -0.0236395, 4.382431, -0.01949474
69897, -0.02265122, 12.18098, -0.01751842
69999, -0.01568731, 16.67883, -0.01090257
70101, -0.0114144, 18.74009, -0.003447143
70206, -0.008696454, 19.59827, 0.00161806
70308, 0.003379933, 19.90606, -0.006831073
70414, 0.01515661, 20.01018, -0.0199793
70516, 0.01597611, 20.01595, -0.03803551
70616, 0.002211035, 20.00947, -0.04524641
70718, -0.01761458, 19.9962, -0.05358016
70821, -0.02082295, 19.97371, -0.05225054
70923, -0.02659778, 19.94948, -0.0509562
71024, -0.02428875, 19.94, -0.04321296
71124, -0.02093252, 19.9343, -0.03449234
71225, -0.01768761, 19.927, -0.02148567
71327, -0.01207598, 19.93096, -0.009985839
71431, -0.004168944, 19.94376, -0.001740553
71533, 0.01024865, 19.95505, 0.0001798368
71652, 0.02630159, 19.95988, 0.00231489
71752, 0.02492882, 19.96374, 0.003479362
71857, 0.01428615, 19.96811, 0.001790946
71957, 0.006592704, 19.97389, -0.0008836101
72063, 0.006188602, 19.98562, -0.005414093
72165, 0.005985665, 19.99596, -0.009230692
72266, 0.005618928, 20.00557, -0.01228692
72367, 0.0008098861, 20.00273, -0.01335032
72473, -0.005152154, 19.99466, -0.01148941
72575, -0.009701488, 19.99008, -0.006244161
72676, -0.0007088174, 19.98373, 0.00346383
